klub,dzielnica,court_name,surface_type,court_format,court_style
Toro Padel,Bemowo,"DoPadla.pl Kort 3
 Padel",indoor,double,standard
Toro Padel,Bemowo,"Kort 1
 Padel",indoor,double,standard
Toro Padel,Bemowo,"Kort 2
 Padel",indoor,double,standard
Toro Padel,Bemowo,"Kort 4
 Padel",indoor,double,standard
Toro Padel,Bemowo,"Kort 5
 Padel",indoor,double,standard
Toro Padel,Bemowo,"Kort 6
 Padel",indoor,double,standard
Sporteum,Białołęka,"Padel 1
 Padel",indoor,double,standard
Sporteum,Białołęka,"Padel 2
 Padel",indoor,double,standard
WKT Mera,Ochota,"Padel 1
Padel trawa",indoor,double,standard
WKT Mera,Ochota,"Padel 2
Padel trawa",indoor,double,standard
DECATHLON Targówek,Targówek,Kort 1,indoor,double,standard
TENES Klub Sportowy,Ursus,"Padel 1
 Kort odkryty",indoor,double,standard
TENES Klub Sportowy,Ursus,"Padel 2
 Kort odkryty",indoor,double,standard
TENES Klub Sportowy,Ursus,"Padel 3
 Kort odkryty",indoor,double,standard
Padlovnia,Ursynów,"Hala 1
 Hala",indoor,double,standard
Padlovnia,Ursynów,"Hala 2
 Hala",indoor,double,standard
Padlovnia,Ursynów,"Hala 3
 Hala",indoor,double,standard
Padlovnia,Ursynów,"Hala 4
 Hala",indoor,double,standard
Padlovnia,Ursynów,"Hala 5
 Hala",indoor,double,standard
Padlovnia,Ursynów,"Hala 6
 Hala",indoor,double,standard
Padlovnia,Ursynów,"Hala 7
 Hala",indoor,double,standard
Klub Miedzeszyn,Wawer,"Kort 2P
 PADEL HALA",indoor,double,standard
Klub Miedzeszyn,Wawer,"kort 1P
 PADEL HALA",indoor,double,standard
Rakiety Aero,Wawer,Kort 1,indoor,double,standard
Happy Padel,Wesoła,Kort 1,indoor,double,standard
Mana Padel,Wilanów,"(2) OSHEE
Padel",indoor,double,standard
Mana Padel,Wilanów,"(3) Jaguar ERA
Padel",indoor,double,standard
Mana Padel,Wilanów,"(4) BANDERAS
Padel",indoor,double,standard
Mana Padel,Wilanów,"(5)Dental Fraternity
Padel",indoor,double,standard
Mana Padel,Wilanów,"(6) nikalab.
Padel",indoor,double,standard
Mana Padel,Wilanów,"(7) BOMBILLA
Padel",indoor,double,standard
Mana Padel,Wilanów,"(8) 4FLEX
Padel",indoor,double,standard
Mana Padel,Wilanów,"Premier Padel Court
Padel",indoor,double,standard
Sinus Sport Club,Wilanów,Kort 1,indoor,double,standard
TenisWil,Wilanów,"Padel 1
 Zewnętrzny",outdoor,double,standard
TenisWil,Wilanów,"Padel 2
 Zewnętrzny",outdoor,double,standard
TenisWil,Wilanów,"Padel 3
 Zewnętrzny",outdoor,double,standard
ProPadel Jutrzenki,Włochy,Hala,indoor,double,standard
ProPadel Jutrzenki,Włochy,Hala,indoor,double,standard
ProPadel Jutrzenki,Włochy,Hala,indoor,double,standard
ProPadel Jutrzenki,Włochy,Hala,indoor,double,standard
ProPadel Jutrzenki,Włochy,Hala,indoor,double,standard
Padel4All Bulwary,Śródmieście,"Kort
Kort odkryty",indoor,double,standard
